codigo;descripcion;unidades;um;precio
22728;F.T.PARTAGAS SERIE D N.5  (10)PW;1;Caja;160,00
22729;F.T.PARTAGAS SERIE D N.5  (25)PW;1;Caja;400,00
22742;NOBEL SLIMS;10;Cajetilla;5,85
22758;HANDELSGOLD N.100 (10) PW;10;Caja;2,00
22815;VEGAFINA CORONAS (4) PW;1;Estuche;18,20
22816;VEGAFINA CORONITAS  (4)PW;1;Estuche;17,00
22821;VEGAFINA ROBUSTOS (3)PW;5;Estuche;17,10
22824;VEGAFINA SHORT ROBUSTOS (3) PW;5;Lata;14,70
22829;VEGAFINA GRAN CORONA F2 (4)PW;1;Estuche;19,20
22830;VEGAFINA SHORT BELICOSO F2(3)PW;1;Estuche;15,00
22831;VEGAFINA SERIE 2 PANETELA (5);1;Estuche;16,00
23007;CAMEL ACTIVA;10;Cajetilla;6,10
23479;LUCKY STRIKE ORIGIN. TOBAC;10;Cajetilla;5,75
23483;AL CAPONE GOLD FILTER (10);10;Estuche;2,70
23580;AL FAKHER THE DOUBLE CRUNCH (50G);10;Caja;4,70
