codigo;descripcion;precio;unidades;um
3524015;ROBERT McCONNELL RED VIRGINIA 50 G;16.50;1;Lata
3524016;ROBERT McCONNELL SCOTTISH CK 50 G;17.00;1;Lata
3524017;ROBERT McCONNELL BOUTIQUE BLEND 50 G;16.00;1;Lata
3524018;ROBERT McCONNELL MARYLEBONE 50 G;16.00;1;Lata
3524019;ROBERT McCONNELL BLACK PARROT 50 G;17.50;1;Lata
3524020;ROBERT McCONNELL HIGHGATE 50 G;32.00;1;Lata
3524021;ROBERT McCONNELL COVENT GARDEN 50 G;16.00;1;Lata
3524022;RATTRAY'S - BRITISH COLLE 7 RESERVE 50 G;16.00;1;Lata
3524024;RATTRAY'S - BRITISH COL BLACK MAYORY 50G;16.00;1;Lata
3524025;RATTRAY'S - BRITISH COLLE MARLIN FL 50 G;17.50;1;Lata
3524026;RATTRAY'S - BRITISH COLLE 7 OLD GOW 50 G;17.00;1;Lata
3524027;RATTRAY'S - BRITISH COLLE RED RAPPA 50 G;17.00;1;Lata
3524028;RATTRAY'S - BRITISH COLLE HAL O'THE 50 G;17.00;1;Lata
3524029;RATTRAY'S - BRITISH COLLE BROWN CLU 50 G;17.00;1;Lata
3524030;RATTRAY'S AROMATIC COL BAGPIPER'S D 50 G;16.00;1;Lata
3524130;DENIM RED FILTER DISPLAY 80;13.00;1;Unidad
3524131;JOCKEY RED&BLUE FILTER MIX DISP 80;13.00;1;Unidad
3524132;BRONX VIRGINIA BLEND 300 G DISPLAY;55.00;1;Unidad
3524140;DISPENSADOR MIX NOB SSL FRESH;200.00;1;Unidad
3524152;HOOKAIN FUGGI NINJA (200 G);16.95;1;Lata
3524153;HOOKAIN FUGGI NINJA 50G;4.80;6;Bote
3524154;HOOKAIN PUMPGUN SPY 50G;4.80;6;Bote
3524155;HOOKAIN PUMPGUN SPY 200G;16.95;1;Lata
3524188;CAO CORE RANGE FRESHPACK (5);33.00;5;Estuche
3524189;MACANUDO INSPIRADO LINE-UP FRESHPACK (5);30.00;5;Estuche
3524208;PARAMOUNT RED 100S;4.70;10;Cajetilla
3524209;PARAMOUNT 30G;5.65;10;Bolsa
3524210;DUCADOS RUBIO EXTRA 70G;15.70;6;Lata
3524211;FORTUNA GO 50S (50);12.00;6;Cajetilla
3524216;LA FINCA NO5 (10);29.00;1;Caja
3524217;LA FINCA NO7 (10);33.00;1;Caja
3524218;LA FINCA NO10 (10);38.00;1;Caja
3524219;LA FINCA NO3 (10);31.00;1;Caja
3524220;VEGAFINA VF 98 VF50P (10);80.00;1;Estuche
3524221;HENRY CLAY WH SHORT (25);110.00;1;Caja
3524301;DAVIDOFF WINSTON CH LATE HOUR BELICOSO 4;36.80;1;Lata
3524504;MARLBORO CRAFTED BLANDO;4.85;10;Cajetilla
3524602;CHESTERFIELD ORIGINAL 38s;10.00;5;Cajetilla
